|WRHU        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |HEMPSTEAD                |NY |US |BMLED-19881011KA    |0.47   kW |0.47   kW |55.0    |55.0    |27443      |N |40 |43 |3.3   |W |73  |36 |10.4  |HOFSTRA UNIVERSITY                                                          |   0.00 km |   0.00 mi |  0.00 deg |78.    m|78.0   m|-         |-       |-       |55.    m|119347    |7923d9fbb5804521aea1c1b6063ebeb7        |
|WSQA        |88.7  MHz |FM |204 |DA  |-                   |B1 |-  |LIC    |HORNELL                  |NY |US |BLED-19991012AAM    |4.5    kW |4.5    kW |151.0   |151.0   |81145      |N |42 |16 |2.3   |W |77  |37 |54.0  |WSKG PUBLIC TELECOMMUNICATIONS COUNCIL                                      |   0.00 km |   0.00 mi |  0.00 deg |689.   m|689.0  m|14932     |0.      |1005735 |95.    m|401729    |cb17af4155c64176a3d8c1b6063ebeb7        |
|W204CJ      |88.7  MHz |FX |204 |ND  |-                   |D  |-  |LIC    |LAKE PLACID              |NY |US |BLFT-20111012AAB    |0.013  kW |0.013  kW |-20.0   |0.0     |66421      |N |44 |17 |31.9  |W |73  |59 |23.0  |WAMC                                                                        |   0.00 km |   0.00 mi |  0.00 deg |614.   m|614.0  m|105600    |-       |-       |24.    m|1450039   |a7a29549202742578cd0c1b6063ebeb7        |
|WEER        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |MONTAUK                  |NY |US |BLED-20050318ABX    |0.005  kW |1.7    kW |91.0    |91.0    |91175      |N |41 |1  |55.4  |W |71  |58 |31.3  |EASTERN TOWER CORPORATION                                                   |   0.00 km |   0.00 mi |  0.00 deg |92.7   m|92.7   m|-         |-       |1224864 |36.    m|1048156   |fb1107ac6ee74893990fc1b6063ebeb7        |
|WSGU        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |CP     |OLD FORGE                |NY |US |0000166845          |0.35   kW |0.35   kW |124.0   |124.0   |767618     |N |43 |41 |39    |W |074 |57 |40    |THE ST. LAWRENCE UNIVERSITY                                                 |   0.00 km |   0.00 mi |  0.00 deg |706.   m|706.0  m|6902019008006|-       |-       |8.     m|166845    |25076f917ce2e04b017ce6a3e4360a24        |
|W204BJ      |88.7  MHz |FX |204 |ND  |-                   |D  |-  |LIC    |OLD FORGE                |NY |US |BLFT-20000427ACB    |0.019  kW |0.019  kW |54.6    |0.0     |92529      |N |43 |42 |4.2   |W |74  |58 |18.6  |THE ST. LAWRENCE UNIVERSITY                                                 |   0.00 km |   0.00 mi |  0.00 deg |616.   m|616.0  m|-         |-       |-       |6.     m|498744    |ab89a9b4455f413c914ac1b6063ebeb7        |
|WRHV        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |POUGHKEEPSIE             |NY |US |BLED-19900913KA     |-.     kW |0.23   kW |0.0     |393.0   |73265      |N |41 |43 |9.3   |W |73  |59 |45.5  |WMHT EDUCATIONAL TELECOMMUNICATIONS                                         |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|503.   m|-         |-       |-       |168.   m|152318    |e2349cc447c84e588341c1b6063ebeb7        |
|WFNP        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |ROSENDALE                |NY |US |BLED-19930111KC     |-.     kW |0.23   kW |0.0     |393.0   |63126      |N |41 |43 |9.3   |W |73  |59 |45.5  |STATE UNIVERSITY OF NEW YORK                                                |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|503.   m|-         |-       |-       |168.   m|180550    |cf1bbaed37ed42f5b616c1b6063ebeb7        |
|WCIY        |88.9  MHz |FM |205 |ND  |-                   |B1 |-  |LIC    |CANANDAIGUA              |NY |US |BLED-20060307BUI    |0.68   kW |0.68   kW |324.0   |324.0   |20643      |N |42 |44 |44.2  |W |77  |25 |32.9  |FAMILY LIFE MINISTRIES, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |714.   m|714.0  m|-         |-       |-       |56.    m|1117889   |bfa2569e763a4cb683f6c1b6063ebeb7        |
|W205CB      |88.9  MHz |FX |205 |DA  |-                   |D  |-  |LIC    |CAYUGA HEIGHTS           |NY |US |BLFT-20050705ABD    |0.18   kW |0.18   kW |4.9     |0.0     |121884     |N |42 |26 |48.2  |W |76  |32 |15.7  |STATE UNIVERSITY OF NEW YORK                                                |   0.00 km |   0.00 mi |  0.00 deg |330.   m|330.0  m|16125     |70.     |-       |10.    m|1071113   |4d935ce1cd2d4029be6ec1b6063ebeb7        |
|WELN        |88.9  MHz |FM |205 |DA  |-                   |A  |-  |CP     |ELLENBURG                |NY |US |0000166848          |0.2    kW |0.2    kW |160.0   |160.0   |767429     |N |44 |51 |11    |W |073 |58 |27    |THE ST. LAWRENCE UNIVERSITY                                                 |   0.00 km |   0.00 mi |  0.00 deg |589.   m|589.0  m|6902019008006|0.      |-       |25.    m|166848    |25076ff37e3a985c017e455be22604b1        |
