|WRKC        |88.5  MHz |FM |203 |DA  |-                   |A  |-  |LIC    |WILKES-BARRE             |PA |US |BLED-20111026ABA    |1.5    kW |1.5    kW |-140.0  |-140.0  |34899      |N |41 |14 |56.3  |W |75  |52 |43.7  |KINGS COLLEGE                                                               |   0.00 km |   0.00 mi |  0.00 deg |220.4  m|220.4  m|103663    |0.      |1274058 |52.4   m|1442814   |7053df8312884eba998dc1b6063ebeb7        |
|WYVL        |88.5  MHz |FM |203 |DA  |-                   |A  |-  |LIC    |YOUNGSVILLE              |PA |US |BLED-20151202EYN    |2.5    kW |2.5    kW |130.0   |130.0   |89403      |N |41 |54 |7.2   |W |79  |15 |40.1  |CALVARY CHAPEL OF RUSSELL                                                   |   0.00 km |   0.00 mi |  0.00 deg |612.   m|612.0  m|122229    |0.      |-       |59.    m|1709061   |1deb80f7c63145879271c1b6063ebeb7        |
|WPME        |88.7  MHz |FM |204 |DA  |-                   |A  |-  |CP     |BEDFORD                  |PA |US |0000165612          |0.001  kW |0.6    kW |44.0    |44.0    |762537     |N |39 |58 |47.1  |W |78  |33 |5.9   |CENTRAL PENNSYLVANIA CHRISTIAN INSTITUTE, INC.                              |   0.00 km |   0.00 mi |  0.00 deg |498.   m|498.0  m|6902019008006|0.      |1224764 |60.    m|165612    |25076f917f6bce4b017f75939a5b02af        |
|WRYV-FM1    |88.7  MHz |FB |204 |DA  |-                   |D  |-  |CP     |CENTRE HALL              |PA |US |0000141008          |0.099  kW |0.099  kW |0.0     |0.0     |189706     |N |40 |45 |08    |W |77  |45 |16    |INVISIBLE ALLIES MINISTRIES                                                 |   0.00 km |   0.00 mi |  0.00 deg |680.   m|680.0  m|106010    |0.      |-       |24.    m|141008    |25076ff3786136ba01787f37e453082a        |
|WCGT        |88.7  MHz |FM |204 |DA  |-                   |A  |-  |LIC    |CLINTONVILLE             |PA |US |0000189040          |2.9    kW |2.9    kW |141.0   |141.0   |172665     |N |41 |19 |7.8   |W |79  |56 |57.8  |FAMILY LIFE MINISTRIES, INC.                                                |   0.00 km |   0.00 mi |  0.00 deg |559.   m|559.0  m|1009451   |0.      |1308344 |113.   m|189040    |25076ff37fff97100180004d90030376        |
|WPAL        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |CP     |COLLEY                   |PA |US |0000166787          |0.0093 kW |0.0093 kW |256.0   |256.0   |768431     |N |41 |32 |29.9  |W |076 |15 |28.7  |TELIKOJA EDUCATIONAL BROADCASTING, INC.                                     |   0.00 km |   0.00 mi |  0.00 deg |724.   m|724.0  m|6902019008006|-       |-       |24.    m|166787    |25076f917ce2e04b017d0615fa3f6de9        |
|-           |88.7  MHz |FM |204 |ND  |-                   |A  |-  |CP     |CONNELLSVILLE            |PA |US |0000212976          |0.036  kW |0.036  kW |713.0   |713.0   |768606     |N |40 |00 |52    |W |79  |31 |03    |BROADCAST EDUCATIONAL COMMUNICATIONS, INC.                                  |   0.00 km |   0.00 mi |  0.00 deg |713.   m|713.0  m|1006063   |-       |-       |15.    m|212976    |25076f9186f2886f01871f5d7f8e09ea        |
|WWLU        |88.7  MHz |FM |204 |ND  |-                   |D  |-  |LIC    |LINCOLN UNIVERSITY       |PA |US |BLED-1370           |0.003  kW |-.     kW |43.0    |0.0     |37557      |N |39 |48 |36.3  |W |75  |55 |33.8  |LINCOLN UNIVERSITY                                                          |   0.00 km |   0.00 mi |  0.00 deg |175.   m|0.0    m|-         |-       |-       |0.     m|299334    |e490093dfdb34970ab71c1b6063ebeb7        |
|WWCF        |88.7  MHz |FM |204 |ND  |-                   |A  |-  |LIC    |MCCONNELLSBURG           |PA |US |BMLED-20170814ABF   |0.007  kW |0.007  kW |433.0   |433.0   |85292      |N |39 |55 |33.3  |W |77  |57 |23.0  |COVE MOUNTAIN EDUCATIONAL BROADCASTING, INC.                                |   0.00 km |   0.00 mi |  0.00 deg |734.   m|734.0  m|-         |-       |-       |22.    m|1764503   |9d8ad46f01924af087c4c1b6063ebeb7        |
|WXPH        |88.7  MHz |FM |204 |DA  |-                   |B  |-  |LIC    |MIDDLETOWN               |PA |US |BLED-20070705AEB    |0.075  kW |7.     kW |216.0   |216.0   |87834      |N |40 |2  |7.4   |W |76  |37 |17.9  |THE TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA                              |   0.00 km |   0.00 mi |  0.00 deg |354.   m|354.0  m|75358     |0.      |1229158 |56.    m|1183387   |908d913f5f19474aae3ec1b6063ebeb7        |
