County	Municipality	Updated	2020	2010	Percent Change	Environmental Action Communitee	Human Rights Comittee	Municipal Class	Square Miles	Website
Bucks	Plumstead Township	2/12/2023	14021	12442	12.6908857	Unknown	Unknown			
Bucks	Quakertown Borough	2/12/2023	9359	8979	4.23209712	Unknown	Unknown			
Bucks	Richland Township	2/12/2023	13837	13052	6.01440392	Unknown	Unknown			
Bucks	Richlandtown Borough	2/12/2023	1353	1327	1.95930671	Unknown	Unknown			
Bucks	Riegelsville Borough	2/12/2023	847	868	-2.4193548	Unknown	Unknown			
Bucks	Sellersville Borough	2/12/2023	4567	4249	7.48411391	Unknown	Unknown			
Bucks	Silverdale Borough	2/12/2023	805	871	-7.5774971	Unknown	Unknown			
Bucks	Solebury Township	2/12/2023	8709	8692	0.19558214	Unknown	Unknown			
Bucks	Springfield Township	2/12/2023	5175	5035	2.78053625	Unknown	Unknown			
Bucks	Telford Borough	2/12/2023	2199	2207	-0.362483	Unknown	Unknown			
Bucks	Tinicum Township	2/12/2023	3818	3995	-4.4305382	Unknown	Unknown			
Bucks	Trumbauersville Borough	2/12/2023	904	974	-7.1868583	Unknown	Unknown			
Bucks	Tullytown Borough	2/12/2023	2282	1872	21.9017094	Unknown	Unknown			
Bucks	Upper Makefield Township	2/12/2023	8857	8190	8.14407814	Unknown	Unknown			
Bucks	Upper Southampton Township	2/12/2023	15269	15152	0.77217529	Unknown	Unknown			
Bucks	Warminster Township	2/12/2023	33603	32682	2.81806499	Unknown	Unknown			
Bucks	Warrington Township	2/12/2023	25639	23418	9.48415749	Unknown	Unknown			
Bucks	Warwick Township	2/12/2023	14851	14437	2.86763178	Unknown	Unknown			
Bucks	West Rockhill Township	2/12/2023	5439	5256	3.48173516	Unknown	Unknown			
Bucks	Wrightstown Township	2/12/2023	3286	2995	9.71619366	Unknown	Unknown			
Bucks	Yardley Borough	2/12/2023	2605	2434	7.02547247	Unknown	Unknown			
Chester	Atglen Borough	2/12/2023	1313	1406	-6.6145092	Unknown	Unknown			
Chester	Avondale Borough	2/12/2023	1274	1265	0.71146245	Unknown	Unknown			
Chester	Birmingham Township	2/12/2023	4082	4208	-2.9942966	Unknown	Unknown			
Chester	Caln Township	2/12/2023	14432	13817	4.45103858	Unknown	Unknown			
Chester	Charlestown Township	2/12/2023	6001	5671	5.81907953	Unknown	Unknown			
Chester	Coatesville City	2/12/2023	13350	13100	1.90839695	Unknown	Unknown			
Chester	Downingtown Borough	2/12/2023	7892	7891	0.01267267	Unknown	Unknown			
Chester	East Bradford Township	2/12/2023	10339	9942	3.99316033	Unknown	Unknown			
Chester	East Brandywine Township	2/12/2023	9738	6742	44.4378523	Unknown	Unknown			
Chester	East Caln Township	2/12/2023	5384	4838	11.2856552	Unknown	Unknown			
Chester	East Coventry Township	2/12/2023	7068	6636	6.50994575	Unknown	Unknown			
Chester	East Fallowfield Township	2/12/2023	7626	7449	2.37615787	Unknown	Unknown			
Chester	East Goshen Township	2/12/2023	18410	18026	2.1302563	Unknown	Unknown			
