County	School District	Level Up	OSTCP Eligible	School District	Last Updated	Website	Number of Students	# of students in Special Ed	District Population	# of Elementary Schools	# Of Teachers	Number of Staff	% White Teachers	% White Students	% White Special Ed	% Black Students	% Black Special Ed	% Hispanic Students	% Hispanic Special Ed	% Asian Students	% Asian Special Ed	% Multiracial students	% Multiracial students in special Ed	Yearly Budgeted Expenses	Special Ed Budget	Special Ed Staff	Underfundedness per POWER Interfait			PA % Proficient in Math	PA % Proficient in Reading
Lancaster	Conestoga Valley	N	N	Conestoga Valley School District																											
Lancaster	Donegal	N	N	Donegal School District																											
Lancaster	Eastern Lancaster County	N	N	Eastern Lancaster County School District																											
Lancaster	Elizabethtown Area	N	N	Elizabethtown Area School District																											
Lancaster	Ephrata Area	Y	N	Ephrata Area School District																											
Lancaster	Hempfield	N	N	Hempfield School District																											
Lancaster	La Academia Partnership Charter School	N	N	La Academia Partnership Charter School																											
Lancaster	Lampeter-Strasburg	N	N	Lampeter-Strasburg School District																											
Lancaster	Lancaster	Y	Y	Lancaster School District																											
Lancaster	Lancaster County Academy	N	N	Lancaster County Academy																											
Lancaster	Lancaster County Career And Technical Center	N	N	Lancaster County Career And Technical Center																											
Lancaster	Manheim Central	N	N	Manheim Central School District																											
Lancaster	Manheim Township	N	N	Manheim Township School District																											
Lancaster	Penn Manor	N	N	Penn Manor School District																											
Lancaster	Pequea Valley	N	N	Pequea Valley School District																											
Lancaster	Solanco	N	N	Solanco School District																											
Lancaster	Warwick	N	N	Warwick School District																											
Lawrence	Ellwood City Area	N	N	Ellwood City Area School District																											
Lawrence	Laurel	N	N	Laurel School District																											
Lawrence	Lawrence County Career And Technical Center	N	N	Lawrence County Career And Technical Center																											
Lawrence	Mohawk Area	N	N	Mohawk Area School District																											
Lawrence	Neshannock Township	N	N	Neshannock Township School District																											
Lawrence	New Castle Area	Y	Y	New Castle Area School District																											
Lawrence	Shenango Area	N	N	Shenango Area School District																											
Lawrence	Union Area	N	N	Union Area School District																											
Lawrence	Wilmington Area	N	N	Wilmington Area School District																											
Lebanon	Annville-Cleona	N	N	Annville-Cleona School District																											
Lebanon	Cornwall-Lebanon	N	N	Cornwall-Lebanon School District																											
Lebanon	Eastern Lebanon County	N	N	Eastern Lebanon County School District																											
