LEA,discipline: American Indian or Alaska Native,discipline: Asian or Pacific Islander,discipline: Asian,discipline: Hawaiian/ Pacific Islander,discipline: Hispanic,discipline: Black,discipline: White,discipline: Two or more races,discipline: Total,cumulative: American Indian or Alaska Native,percent: American Indian or Alaska Native,cumulative: Asian or Pacific Islander,percent: Asian or Pacific Islander,cumulative: Asian,percent: Asian,cumulative: Hawaiian/ Pacific Islander,percent: Hawaiian/ Pacific Islander,cumulative: Hispanic,percent: Hispanic,cumulative: Black,percent: Black,cumulative: White,percent: White,cumulative: Two or more races,percent: Two or more races,cumulative: Total,percent: Total,Ratio of black to white discipline,Lea State,School State,School,ID,Year,Category,Instances,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,EL,type
Souderton,0,0,23,0,44,56,177,0,300,28,0,0,NaN,806,2.8535980148883375,25,0,1078,4.081632653061225,576,9.722222222222221,10459,1.6923224017592504,22,0,12994,2.3087578882561184,5.744899560577526,,,,,,,,,,,,,,,,,,
Souderton CS Collaborative,0,0,0,0,0,0,0,0,0,0,NaN,0,NaN,70,0,0,NaN,29,0,16,0,311,0,26,0,452,0,NaN,,,,,,,,,,,,,,,,,,
Colonial IU 20,0,0,0,0,0,4,4,0,8,3,0,0,NaN,59,0,3,0,637,0,374,1.0695187165775402,1560,0.2564102564102564,39,0,2675,0.29906542056074764,4.171122994652407,,,,,,,,,,,,,,,,,,
Southern Tioga,0,0,0,0,12,0,126,4,142,9,0,0,NaN,8,0,0,NaN,15,80,10,0,1679,7.504466944609887,17,23.529411764705884,1738,8.170310701956272,0,,,,,,,,,,,,,,,,,,
Connellsville,0,0,0,0,0,0,23,0,23,0,NaN,0,NaN,0,NaN,0,NaN,10,0,0,NaN,591,3.8917089678510997,10,0,611,3.7643207855973815,NaN,,,,,,,,,,,,,,,,,,
Northwestern,0,0,0,0,3,0,7,0,10,3,0,0,NaN,3,0,0,NaN,3,100,5,0,412,1.6990291262135921,14,0,440,2.272727272727273,0,,,,,,,,,,,,,,,,,,
Palisades,0,0,0,0,0,0,2,0,2,0,NaN,0,NaN,0,NaN,2,0,15,0,0,NaN,372,0.5376344086021505,9,0,398,0.5025125628140703,NaN,,,,,,,,,,,,,,,,,,
Wissahickon,0,0,6,1,6,26,38,8,85,2,0,0,NaN,467,1.284796573875803,2,50,246,2.4390243902439024,370,7.027027027027027,2322,1.636520241171404,210,3.8095238095238093,3619,2.3487151146725616,4.293883357041252,,,,,,,,,,,,,,,,,,
Dallastown,0,0,0,0,0,0,0,0,0,3,0,0,NaN,13,0,0,NaN,32,0,50,0,800,0,32,0,930,0,NaN,,,,,,,,,,,,,,,,,,
Cheltenham,0,0,10,0,17,202,28,4,261,8,0,0,NaN,317,3.1545741324921135,5,0,312,5.448717948717949,2339,8.636169303120992,1396,2.005730659025788,173,2.3121387283236996,4550,5.736263736263736,4.305747266841752,,,,,,,,,,,,,,,,,,
